date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,shootout_winner,raw_margin_home,raw_margin_away,margin_home,margin_away,hfa,adj_margin_home,adj_margin_away,match_type,match_type_weight,tier_weight,home_win,away_win,home_confederation,away_confederation,grouped_date_id,unique_game_id
1980-02-26,Australia,Papua New Guinea,11.0,2.0,Oceania Nations Cup,Nouméa,New Caledonia,True,,9.0,-9.0,8.0,-8.0,0.0,8.0,-8.0,competitive,1.0,1.5,1.0,0.0,AFC,OFC,26,
1980-02-26,Mexico,South Korea,0.0,1.0,Friendly,Los Angeles,United States,True,,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,friendly,0.25,1.0,0.0,1.0,CONCACAF,AFC,26,
1980-02-26,New Caledonia,Vanuatu,4.0,3.0,Oceania Nations Cup,Nouméa,New Caledonia,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,competitive,1.0,1.5,1.0,0.0,OFC,OFC,26,
1980-02-27,Solomon Islands,Tahiti,1.0,12.0,Oceania Nations Cup,Nouméa,New Caledonia,True,,-11.0,11.0,-8.0,8.0,0.0,-8.0,8.0,competitive,1.0,1.5,0.0,1.0,OFC,OFC,27,
1980-02-27,Morocco,Tunisia,0.0,0.0,Friendly,Meknes,Morocco,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,CAF,CAF,27,
1980-02-27,Iraq,Poland,1.0,1.0,Friendly,Baghdad,Iraq,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,AFC,UEFA,27,
1980-02-27,Fiji,New Zealand,4.0,0.0,Oceania Nations Cup,Nouméa,New Caledonia,True,,4.0,-4.0,4.0,-4.0,0.0,4.0,-4.0,competitive,1.0,1.5,1.0,0.0,OFC,OFC,27,
1980-02-27,France,Greece,5.0,1.0,Friendly,Paris,France,False,,4.0,-4.0,4.0,-4.0,0.5,3.5,-3.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,27,
1980-02-27,Belgium,Luxembourg,5.0,0.0,Friendly,Brussels,Belgium,False,,5.0,-5.0,5.0,-5.0,0.5,4.5,-4.5,friendly,0.25,1.0,1.0,0.0,UEFA,UEFA,27,
1980-02-27,Germany,Malta,8.0,0.0,UEFA Euro qualification,Bremen,Germany,False,,8.0,-8.0,8.0,-8.0,0.5,7.5,-7.5,competitive,1.0,1.0,1.0,0.0,UEFA,UEFA,27,
